MS	HH	DEPEND	AGE	F1040A	F1040EZ	TPI	TXRT	MR	EMP	PREP	TAX	SUBJECT	TIME	LNTPI	LNTAX
1	0	4	0	1	0	24196.89063	22	22	0	1	2844.55957	128	1	10.09397984	7.953515053
0	0	1	1	0	0	13046.63184	19	19	0	0	1390.673584	129	1	9.476284981	7.238262177
1	0	2	0	0	0	37338.85938	33	33	0	1	6174.093262	130	1	10.52779007	8.728279114
0	0	1	0	0	0	21403.10938	31	31	0	0	3355.44043	131	1	9.971291542	8.118636131
0	0	1	0	0	1	8558.548828	17	17	0	0	766.8393555	132	1	9.054685593	6.643580437
1	0	2	0	0	0	43835.23438	39	39	0	1	7780.311035	133	1	10.68819332	8.959480286
1	0	2	0	0	0	34482.90234	33	33	0	1	4992.746094	134	1	10.4482193	8.51594162
1	0	4	0	0	0	26581.34766	22	25	0	1	2867.357422	135	1	10.18796539	7.961494923
1	0	5	0	0	0	38534.71484	25	33	0	1	2940.932617	136	1	10.55931473	7.986822128
0	1	3	0	0	0	14239.37793	20	20	0	0	820.7254028	137	1	9.563766479	6.711406231
1	0	6	0	1	0	29617.61719	25	25	0	0	3659.067383	138	1	10.29612446	8.205236435
1	0	5	0	0	0	10145.07813	0	12	0	0	0	139	1	9.224743843	0
1	0	3	1	0	0	14540.93262	16	16	0	0	768.9119263	140	1	9.584722519	6.646275997
1	0	2	0	0	0	46531.60547	33	39	0	0	6331.606445	141	1	10.74788666	8.75346756
0	0	1	0	0	1	9854.921875	19	19	0	0	987.5647583	142	1	9.195726395	6.896254063
1	0	2	1	0	0	46030.05078	33	39	0	1	7587.564941	143	1	10.73705006	8.934397697
0	0	1	0	0	1	3140.932617	0	0	0	0	0	144	1	8.052274704	0
1	0	5	0	1	0	19026.94336	19	19	0	0	1509.844604	145	1	9.853610992	7.32042408
1	0	2	0	0	0	44112.95313	33	39	0	0	6702.59082	146	1	10.69450855	8.810399055
1	0	3	0	1	0	14347.15039	16	16	0	0	1075.647705	147	1	9.571306229	6.981607437
0	0	1	0	1	0	1934.714966	0	0	0	1	0	148	1	7.567715168	0
1	0	4	0	0	0	34012.43359	29	29	0	0	4358.549316	149	1	10.43448162	8.380124092
0	0	1	0	0	0	21056.99414	27	31	0	1	2477.720215	150	1	9.95498848	7.815497875
1	0	5	0	0	0	33006.21875	22	29	1	0	1702.590698	151	1	10.40445137	7.440493584
0	0	1	0	0	1	8817.616211	17	17	0	0	810.3626709	152	1	9.084506989	6.69871521
0	0	1	0	0	1	10747.15039	19	19	0	1	1154.404175	153	1	9.282396317	7.052205563
0	0	1	0	0	0	20783.41992	23	31	0	1	2134.715088	154	1	9.941910744	7.666556835
1	0	3	0	0	0	42398.96484	22	39	1	0	2425.906738	155	1	10.65487957	7.794372559
1	0	2	0	0	0	83740.92969	49	49	0	0	19398.96289	156	1	11.33548355	9.873026848
1	0	3	0	0	0	9683.9375	14	14	0	1	0	157	1	9.17822361	0
1	0	4	0	1	0	9429.015625	0	12	0	0	0	158	1	9.151547432	0
1	0	3	0	0	0	73739.89844	33	49	1	0	7002.072754	159	1	11.20829964	8.854104042
1	0	5	0	1	0	26767.875	25	25	0	1	3205.181396	160	1	10.19495773	8.072835922
1	0	6	0	1	0	29151.29492	25	25	0	0	3360.621826	161	1	10.28025436	8.120179176
1	0	6	0	1	0	13099.48145	14	14	0	1	424.8704529	162	1	9.480327606	6.054135323
1	0	3	0	0	0	19673.57422	19	19	0	0	2080.829102	163	1	9.887031555	7.641002178
0	0	1	0	1	0	3043.523438	0	0	0	0	0	164	1	8.020771027	0
0	1	2	0	1	0	461.1398926	0	0	0	1	0	165	1	6.133701324	0
1	0	4	0	0	0	35753.36719	29	33	0	1	4220.725586	166	1	10.4843998	8.347999573
1	0	2	0	0	0	17927.46094	19	19	1	1	1421.761719	167	1	9.794089317	7.260354996
1	0	2	1	0	0	8416.580078	0	12	1	1	0	168	1	9.037959099	0
1	0	3	0	1	0	31855.95898	29	29	0	0	4972.020508	169	1	10.36897945	8.511782646
1	0	3	0	0	0	9670.466797	0	14	1	1	0	170	1	9.176832199	0
1	0	4	0	1	0	14508.80859	16	16	0	1	918.1347046	171	1	9.582510948	6.823432922
1	0	2	0	0	0	35208.28906	29	33	0	1	5543.005371	172	1	10.46903706	8.620472908
0	0	1	0	0	1	11824.87012	19	19	0	1	1361.658081	173	1	9.377960205	7.21719265
0	1	2	0	0	0	41076.68359	38	41	0	1	8398.963867	174	1	10.62319565	9.035983086
0	0	1	0	1	0	25329.5332	31	31	0	0	4956.476563	175	1	10.13972664	8.508651733
0	0	1	0	0	1	2305.699463	0	0	0	0	0	176	1	7.743139267	0
1	0	3	0	0	0	38276.68359	29	33	0	0	5588.601074	177	1	10.55259609	8.628663063
0	0	1	0	0	1	4850.777344	14	14	0	0	177.2020721	178	1	8.486894608	5.182918072
1	0	2	0	0	0	41025.90625	33	39	1	0	7477.720215	179	1	10.62195873	8.919816971
0	0	1	0	0	0	29461.14063	35	35	0	1	5710.880859	180	1	10.29082775	8.650303841
1	0	4	0	0	0	56764.76563	39	44	0	0	8865.285156	181	1	10.94667149	9.090011597
0	0	1	0	0	1	1533.678711	0	0	0	0	0	182	1	7.335424423	0
1	0	2	0	0	0	51610.36328	39	44	0	1	8649.741211	183	1	10.85147762	9.065400124
0	1	4	0	1	0	12343.00488	16	16	0	0	802.0725098	184	1	9.420845032	6.688445091
0	1	2	0	1	0	728.4974365	0	0	0	0	0	185	1	6.590983868	0
1	0	4	0	0	0	61937.82422	39	44	0	1	9850.777344	186	1	11.03388596	9.195406914
0	0	1	0	1	0	9663.212891	17	17	0	0	951.2953491	187	1	9.176081657	6.858875275
1	0	3	0	0	0	70629.01563	44	49	0	0	16435.23242	188	1	11.16519642	9.707243919
1	0	2	0	0	0	11984.45605	0	16	1	1	0	189	1	9.391366005	0
1	0	2	0	0	0	1.036269426	0	0	1	1	0	190	1	0.035627179	0
0	0	1	0	0	1	30871.50195	35	35	0	0	6925.388672	191	1	10.33758926	8.843093872
1	0	4	0	0	0	44169.94922	33	39	0	1	7717.098633	192	1	10.69579983	8.951323509
1	0	2	0	0	0	34168.91016	29	33	0	1	4416.580078	193	1	10.43907166	8.39334774
0	0	1	0	0	0	30141.96875	31	35	0	0	4907.771973	194	1	10.31367397	8.498779297
1	0	3	0	0	0	25748.1875	22	25	0	1	2556.476563	195	1	10.15611935	7.846776485
1	0	2	1	0	0	9292.227539	12	12	0	0	137.8238373	196	1	9.136933327	4.933205605
1	0	4	0	0	0	49611.39844	39	39	0	0	8305.699219	197	1	10.81197548	9.024817467
1	0	4	0	0	0	32923.31641	25	29	1	1	3940.932617	198	1	10.40193653	8.279426575
1	0	2	1	0	0	16421.76172	19	19	1	0	1461.139893	199	1	9.706362724	7.287656307
1	0	2	0	0	0	38732.64063	33	39	0	1	7083.937988	200	1	10.56443787	8.865726471
1	0	2	1	0	0	27953.36719	22	25	0	1	2969.948242	201	1	10.23829269	7.996636391
0	0	1	0	0	0	1.036269426	0	0	1	1	0	202	1	0.035627179	0
0	0	1	0	0	1	2156.476563	0	0	0	0	0	203	1	7.676230907	0
0	0	2	0	0	0	21353.36719	27	31	0	1	2770.984375	204	1	9.968964577	7.927318573
1	0	2	1	0	0	19931.60547	19	19	1	1	1480.828979	205	1	9.900061607	7.301032543
1	0	3	0	0	0	20978.23828	22	22	0	1	2343.005127	206	1	9.95124054	7.759616375
1	0	5	0	0	0	14177.20215	16	16	0	1	710.8808594	207	1	9.559390068	6.567910671
1	0	2	0	1	0	10901.55469	16	16	0	0	694.3005371	208	1	9.296660423	6.544343948
1	0	4	0	0	0	47913.98828	29	39	0	0	5669.430176	209	1	10.77716255	8.64302063
1	0	5	0	0	0	38625.90625	29	33	0	0	3967.875732	210	1	10.56167889	8.286237717
0	0	1	0	0	1	8609.326172	17	17	0	0	775.1295166	211	1	9.060601234	6.654319286
1	0	3	0	0	0	17010.36328	19	19	0	1	1559.585449	212	1	9.741578102	7.352816582
1	0	4	0	0	0	27461.14063	19	25	0	0	1883.937866	213	1	10.22052765	7.541650295
1	0	4	0	0	0	37662.17578	29	33	0	1	4927.460938	214	1	10.53641129	8.502781868
1	0	4	0	0	0	38640.41406	29	33	0	0	4461.140137	215	1	10.56205368	8.403383255
0	0	1	1	0	0	14048.70508	22	22	1	1	1415.544067	216	1	9.550285339	7.255975246
1	0	4	0	0	0	45150.25781	29	39	1	1	4708.808105	217	1	10.7177515	8.457402229
1	0	3	0	0	0	13038.3418	0	16	0	0	0	218	1	9.475649834	0
1	0	4	0	0	0	45689.12109	25	39	1	1	2396.891113	219	1	10.72961521	7.782344818
0	1	2	1	0	0	8637.305664	12	14	0	1	0	220	1	9.063845634	0
1	0	2	0	0	0	38547.14844	25	33	1	0	3723.316162	221	1	10.55963707	8.22263813
0	0	1	0	0	1	674.6113892	0	0	0	0	0	222	1	6.514136791	0
0	0	1	0	1	0	10282.90137	16	19	0	0	402.0725403	223	1	9.238237381	5.999116421
0	0	1	0	0	1	6785.492188	16	16	0	0	468.3937683	224	1	8.822542191	6.151442051
0	0	1	0	0	1	12747.15039	22	22	0	0	1544.041504	225	1	9.453063011	7.342805862
1	0	4	0	0	0	11503.62695	16	19	0	0	568.9119263	226	1	9.350418091	6.345481873
0	0	3	0	1	0	10749.22266	17	17	0	0	784.4559326	227	1	9.282588959	6.666264534
0	0	1	0	0	1	14684.97363	23	23	0	0	1979.274658	228	1	9.594579697	7.59099102
1	0	3	0	0	0	43296.375	29	39	0	0	5119.170898	229	1	10.67582417	8.540943146
0	0	1	0	0	0	15765.80273	23	23	0	0	2230.051758	230	1	9.665598869	7.710228443
1	0	3	0	0	0	50958.55078	33	44	0	1	7546.11377	231	1	10.83876801	8.928920746
1	0	6	0	0	0	32692.22852	22	29	1	1	2292.228027	232	1	10.39489269	7.737715721
1	0	3	0	1	0	12675.64746	16	16	0	0	735.7512817	233	1	9.44743824	6.602250576
0	0	1	0	0	1	1404.14502	0	0	0	0	0	234	1	7.2471838	0
1	0	4	0	0	0	19700.51758	19	19	0	0	1756.476685	235	1	9.888400078	7.471634388
0	0	1	0	1	0	22767.875	31	31	0	0	4133.678711	236	1	10.03310585	8.32716465
1	0	2	0	0	0	78661.14063	49	49	0	1	22849.74023	237	1	11.2729044	10.0367384
1	0	2	0	0	0	76912.95313	39	49	0	0	9983.419922	238	1	11.25042915	9.208781242
1	0	2	0	0	0	55066.32031	39	44	0	1	7900.518066	239	1	10.91629314	8.9748106
0	1	4	0	0	0	13234.19727	20	20	0	1	229.0155487	240	1	9.490559578	5.438147068
0	0	1	0	0	1	1279.792725	0	0	0	0	0	241	1	7.154453278	0
1	0	2	1	0	0	13856.99512	16	16	0	1	735.7512817	242	1	9.536545753	6.602250576
1	0	3	0	0	0	44048.70313	39	39	0	1	7739.896484	243	1	10.69305134	8.954273224
0	0	1	0	0	1	8760.62207	17	17	0	0	802.0725098	244	1	9.078022003	6.688445091
1	0	3	0	0	0	27389.63672	22	25	0	1	1806.217651	245	1	10.2179203	7.499543667
0	0	3	0	0	0	25301.55469	23	31	0	1	1794.818604	246	1	10.13862133	7.493216038
1	0	2	1	0	0	25420.72461	25	25	0	1	3115.025879	247	1	10.14332008	8.044313431
1	0	2	0	0	0	32705.69922	29	29	0	1	4761.658203	248	1	10.39530468	8.468561172
1	0	4	0	0	0	67953.36719	33	49	0	1	7370.984375	249	1	11.12657738	8.905442238
0	0	1	0	0	0	9055.958984	17	17	1	1	698.4456177	250	1	9.111178398	6.5502882
0	0	1	0	0	0	8134.714844	16	17	0	0	574.0932617	251	1	9.00389576	6.354532242
0	0	1	0	0	1	12861.13965	22	22	0	0	1578.238281	252	1	9.461965561	7.364697933
0	1	2	0	0	0	18039.37891	23	23	0	1	2391.709961	253	1	9.800312042	7.780181885
0	1	4	0	0	0	8613.47168	0	12	1	1	0	254	1	9.06108284	0
1	0	3	0	1	0	22301.55469	22	22	0	0	2536.787598	255	1	10.01241207	7.839047909
0	1	2	0	0	0	24307.77148	23	28	0	0	2924.352295	256	1	10.09855175	7.981170177
1	0	3	0	1	0	21244.56055	22	22	0	0	2377.202148	257	1	9.963855743	7.774099827
0	0	1	1	0	0	12363.73047	19	19	0	1	1218.652832	258	1	9.422522545	7.106321335
1	0	2	0	0	0	26238.95508	23	23	0	0	3399.598389	1	2	10.17500019	8.131706238
1	0	3	0	1	0	8930.722656	13	13	0	0	102.4096375	2	2	9.097252846	4.638698101
0	0	1	0	0	1	2378.51416	0	0	0	0	0	3	2	7.774231434	0
0	0	1	1	0	0	11882.53027	15	17	0	1	602.409668	4	2	9.382824898	6.402596474
1	0	2	0	0	0	26816.26563	23	26	0	0	2982.931641	5	2	10.19676399	8.000997543
1	0	5	0	0	0	66727.91406	40	44	0	0	11506.02441	6	2	11.10837841	9.350712776
1	0	2	1	0	0	15467.87109	13	15	1	1	167.6706848	7	2	9.646520615	5.127948284
1	0	2	0	0	0	91203.8125	35	48	1	0	8438.754883	8	2	11.42085171	9.040708542
1	0	3	0	0	0	14654.61816	15	15	0	1	848.3935547	9	2	9.592511177	6.744522572
0	0	1	0	0	1	7836.345215	15	15	0	0	488.9558105	10	2	8.966527939	6.194315434
1	0	2	0	1	0	28573.29297	26	26	0	0	3847.389648	11	2	10.26022816	8.255410194
0	0	1	0	0	1	103.4136581	0	0	0	0	0	12	2	4.638737202	0
1	0	2	1	0	0	18494.98047	15	17	0	0	871.4859619	13	2	9.82525444	6.771346569
1	0	5	0	0	0	36826.30469	26	30	0	1	4017.068359	14	2	10.51396751	8.298556328
1	0	2	0	0	0	23979.91992	23	23	1	0	2753.011963	15	2	10.08497238	7.920814037
0	0	1	0	0	0	23738.95508	21	28	0	1	1283.132568	16	2	10.07487297	7.157838821
0	1	2	0	0	0	25035.14063	25	25	0	0	3304.216797	17	2	10.12803555	8.103257179
1	0	2	0	0	0	35303.21094	0	30	1	1	0	18	2	10.47172928	0
1	0	4	0	0	0	27637.55078	19	23	0	1	2134.538086	19	2	10.22693062	7.666473866
1	0	2	0	0	0	380367.4688	50	50	0	1	48192.76953	20	2	12.84889317	10.78298473
1	0	2	0	0	0	61695.78125	35	40	0	0	9382.530273	21	2	11.02997112	9.146711349
0	0	1	0	1	0	12610.44141	17	19	0	0	1061.244995	22	2	9.442280769	6.968139648
1	0	4	0	0	0	25420.68359	19	23	0	0	2093.373535	23	2	10.14331818	7.64700985
0	0	1	0	1	0	20300.20117	28	28	0	0	3178.714844	24	2	9.918386459	8.064546585
0	0	1	0	0	0	9918.674805	0	17	1	0	0	25	2	9.202174187	0
1	0	2	1	0	0	23084.33789	11	19	1	1	128.5140533	26	2	10.04690933	4.863789558
1	0	2	0	0	0	18172.69141	17	19	0	0	1781.124512	27	2	9.807675362	7.485561371
0	1	4	0	1	0	6409.638672	11	11	0	0	0	28	2	8.765558243	0
0	0	1	0	0	0	13233.93555	19	19	0	1	1645.582275	29	2	9.490539551	7.406456947
0	0	1	0	0	1	4270.080078	11	11	0	0	102.4096375	30	2	8.359388351	4.638698101
0	1	3	0	1	0	16336.3457	19	19	0	0	425.7028198	31	2	9.701148033	6.056087971
0	1	3	0	0	0	19455.82422	21	21	0	1	2076.305176	32	2	9.875902176	7.638826847
0	0	1	0	1	0	3785.140625	0	11	0	0	0	33	2	8.238838196	0
0	0	1	0	0	0	5477.911621	15	15	0	1	504.0160522	34	2	8.6084795	6.224590302
1	0	2	1	0	0	18695.7832	17	17	0	1	1610.441772	35	2	9.836052895	7.384884357
0	0	1	0	0	0	24114.45703	21	28	1	0	2058.23291	36	2	10.09056664	7.630088806
1	0	4	0	0	0	46464.85938	35	35	0	0	6694.779297	37	2	10.74645138	8.809232712
