WEEKEND	ZIP	NRETAIL	COUNTYCD	COUNTYNM	PERPERHH	MEDSCHYR	PRCRENT	PRC55P	HHMEDAGE	OLSALES	POPULATN	MEDHVL	MEDINC	TIME
04/11/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	24477.50	38.283	91.00	54.90	2
04/18/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	24896.50	38.283	91.00	54.90	3
04/25/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	27267.50	38.283	91.00	54.90	4
05/02/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	32267.50	38.283	91.00	54.90	5
05/09/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	41606.00	38.283	91.00	54.90	6
05/16/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	83938.50	38.283	91.00	54.90	7
05/23/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	99798.00	38.283	91.00	54.90	8
05/30/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	17649.50	38.283	91.00	54.90	9
06/06/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	22788.00	38.283	91.00	54.90	10
06/13/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	24085.00	38.283	91.00	54.90	11
06/20/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	24370.00	38.283	91.00	54.90	12
06/27/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	25517.50	38.283	91.00	54.90	13
07/04/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	28269.00	38.283	91.00	54.90	14
07/11/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	34395.50	38.283	91.00	54.90	15
07/18/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	47928.50	38.283	91.00	54.90	16
07/25/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	103706.00	38.283	91.00	54.90	17
08/01/98	53095	34	131	WASHNGTN	2.8	12.9	31	37	48	109851.50	38.283	91.00	54.90	18
