UTILNAME	ID	MONTH	PCAPITAL	PFUEL	WAGE	TC	Q	FXK	FXW	KXW	QXF	QXK	QXW
Appalachian Power Co	2	8	666.1875	620.354847	16.31295	548892868.2	2123964	18.15654578	17.95311238	7.88336503	93.68159896	41.13639047	40.67548146
Appalachian Power Co	2	9	666.1875	306.4764431	16.31295	325423297	1833776	16.16548493	15.9843602	7.88336503	82.56733955	40.72158467	40.26532331
Appalachian Power Co	2	10	666.1875	356.0824742	16.31295	311585918.1	1906545	16.58908498	16.40321406	7.88336503	84.95956721	40.83146625	40.37397373
Appalachian Power Co	2	11	666.1875	445.825971	16.31295	402647239.9	1971967	17.22373421	17.03075242	7.88336503	88.41567288	40.92673104	40.46817114
Appalachian Power Co	2	12	666.1875	557.791658	16.31295	490477386.1	2287631	17.85638022	17.65631	7.88336503	92.60229288	41.34599343	40.88273594
Arizona Public Service Co	3	1	531.6875	302.9850187	13.61196	52331001.6	1370580	15.57353534	14.91813482	7.116548312	80.73860011	38.51554871	36.89465082
Arizona Public Service Co	3	2	531.6875	180.3543382	13.61196	5554218	1295703	14.1595743	13.56367927	7.116548312	73.11628254	38.36241971	36.74796614
Arizona Public Service Co	3	3	531.6875	518.4724981	13.61196	80103567.1	1226861	17.03776762	16.32074598	7.116548312	87.63724446	38.2136138	36.60542262
Arizona Public Service Co	3	4	531.6875	171.354322	13.61196	5416273.3	1224482	14.020048	13.43002483	7.116548312	72.10500217	38.20832337	36.60035483
Arizona Public Service Co	3	5	531.6875	176.1276151	13.61196	5417784.6	1231334	14.09493634	13.50176155	7.116548312	72.51900893	38.22353317	36.61492454
Arizona Public Service Co	3	6	531.6875	398.19367	13.61196	63093795.6	1502203	16.31833483	15.63158999	7.116548312	85.14889302	38.76548779	37.13407141
Arizona Public Service Co	3	7	531.6875	162.545672	13.61196	5325788.7	1842335	13.876203	13.29223344	7.116548312	73.44494608	39.32179716	37.66696891
Arizona Public Service Co	3	8	531.6875	395.3922347	13.61196	61916439.5	1862375	16.29909109	15.6131561	7.116548312	86.33367398	39.35128539	37.69521616
Arizona Public Service Co	3	9	531.6875	397.8370743	13.61196	61919986.3	1865202	16.31589282	15.62925075	7.116548312	86.4317497	39.35541968	37.69917645
Arizona Public Service Co	3	10	531.6875	165.6157211	13.61196	3767380	1425332	13.92720316	13.3410873	7.116548312	72.40359368	38.62231473	36.99692367
Arizona Public Service Co	3	11	531.6875	524.5640157	13.61196	78800714	1250684	17.0696046	16.35124314	7.116548312	87.9214445	38.26603288	36.65563567
Arizona Public Service Co	3	12	531.6875	524.3997212	13.61196	78904391.7	1367743	17.06875079	16.35042525	7.116548312	88.47733895	38.50990096	36.88924075
Arkansas Power & Light Co	4	1	780.39	393.2722858	14.94668	119391786	1349307	17.28012444	16.15797672	7.822226572	84.33070623	40.82527799	38.17414009
Arkansas Power & Light Co	4	2	780.39	397.106893	14.94668	120144862.9	1277409	17.30818937	16.18421914	7.822226572	84.13999003	40.66690273	38.02604951
Arkansas Power & Light Co	4	3	780.39	395.0514964	14.94668	117992997.8	1163996	17.29318009	16.17018455	7.822226572	83.51112732	40.39799033	37.77459991
Arkansas Power & Light Co	4	4	780.39	386.8082656	14.94668	121045497.4	1104561	17.23218993	16.113155	7.822226572	82.9043368	40.24640153	37.63285508
Arkansas Power & Light Co	4	5	780.39	388.5457842	14.94668	117831763.4	1161477	17.24515292	16.1252762	7.822226572	83.26628032	40.3917243	37.76874079
Arkansas Power & Light Co	4	6	780.39	319.4427216	14.94668	153052705.3	1376670	16.6787427	15.59564788	7.822226572	81.5116068	40.88334523	38.22843653
Arkansas Power & Light Co	4	7	780.39	336.4551756	14.94668	157116086.6	1635019	16.82881595	15.73597558	7.822226572	83.24573774	41.38078497	38.6935732
Arkansas Power & Light Co	4	8	780.39	383.1939124	14.94668	140930785.9	1534102	17.20503698	16.08776533	7.822226572	84.72778279	41.19651799	38.52127227
Arkansas Power & Light Co	4	9	780.39	372.8417912	14.94668	121713553.9	1516787	17.12582528	16.01369753	7.822226572	84.27048703	41.16368761	38.49057386
Arkansas Power & Light Co	4	10	780.39	377.6566901	14.94668	120015435	1318045	17.16293763	16.04839986	7.822226572	83.6197077	40.75747771	38.11074267
Arkansas Power & Light Co	4	11	780.39	384.721545	14.94668	116866293.9	1181743	17.21654449	16.09852556	7.822226572	83.23111439	40.44175551	37.81552303
Arkansas Power & Light Co	4	12	780.39	385.6464709	14.94668	115026469.4	1212809	17.22348967	16.10501973	7.822226572	83.41921238	40.51680721	37.88570098
Atlantic City Electric Company	5	1	738.5	316.5534253	21.51358	386150263.6	732994	16.51450226	17.66792576	8.802060794	77.7543126	38.73675925	41.44225335
Atlantic City Electric Company	5	2	738.5	362.819105	21.51358	237843445.3	749985	16.90578062	18.0865322	8.802060794	79.73160964	38.80248947	41.51257437
Atlantic City Electric Company	5	3	738.5	236.2402597	21.51358	129154136.4	711790	15.67510059	16.76989771	8.802060794	73.64178601	38.65256	41.35217338
Atlantic City Electric Company	5	4	738.5	349.2753346	21.51358	76991067.1	624229	16.79665757	17.96978766	8.802060794	78.1421991	38.27604422	40.94936057
Atlantic City Electric Company	5	5	738.5	280.3619617	21.51358	145843470.7	533857	16.16625434	17.29535514	8.802060794	74.3279849	37.82746504	40.46945125
Atlantic City Electric Company	5	6	738.5	372.4340932	21.51358	129367260.2	613942	16.98080436	18.16679583	8.802060794	78.90052286	38.22838134	40.89836877
Atlantic City Electric Company	5	7	738.5	344.709709	21.51358	170831045.5	782851	16.75891612	17.92941023	8.802060794	79.28955106	38.92551064	41.64418772
Atlantic City Electric Company	5	8	738.5	341.7002767	21.51358	164236661.8	820062	16.7337645	17.90250195	8.802060794	79.44146775	39.05870983	41.78668995
Atlantic City Electric Company	5	9	738.5	361.6919574	21.51358	129018152.7	756211	16.89685582	18.07698407	8.802060794	79.73821877	38.82620278	41.5379439
Atlantic City Electric Company	5	10	738.5	375.761639	21.51358	133363476.8	620143	17.00631808	18.19409151	8.802060794	79.07865502	38.25720721	40.92920793
Atlantic City Electric Company	5	11	738.5	391.2748826	21.51358	128052369.6	602378	17.12235814	18.31823616	8.802060794	79.44473579	38.17383879	40.8400168
Atlantic City Electric Company	5	12	738.5	373.8759278	21.51358	126064377	619413	16.9918874	18.17865295	8.802060794	79.00457552	38.25382875	40.92559351
Baltimore Gas & Electric Co	6	1	696	284.117344	22.31961	290849514.7	2720874	16.05899929	17.5439784	8.827624646	83.70394245	42.11741309	46.01201932
Baltimore Gas & Electric Co	6	2	696	305.3507115	22.31961	330637186.9	2400463	16.2638765	17.76780065	8.827624646	84.0549686	41.7612583	45.62293081
Baltimore Gas & Electric Co	6	3	696	260.3170624	22.31961	243203002.3	2317410	15.81030802	17.27229059	8.827624646	81.5149933	41.66116591	45.51358286
Baltimore Gas & Electric Co	6	4	696	225.1739131	22.31961	147456273.7	1867688	15.39805209	16.82191327	8.827624646	78.22079447	41.0478762	44.84358212
Baltimore Gas & Electric Co	6	5	696	244.445381	22.31961	183293878.7	2065600	15.63148385	17.07693051	8.827624646	79.96046333	41.33418218	45.15636288
Baltimore Gas & Electric Co	6	6	696	262.1307706	22.31961	235613258.7	2504382	15.83004466	17.29385229	8.827624646	82.04884843	41.8817291	45.75454157
Baltimore Gas & Electric Co	6	7	696	266.4389727	22.31961	242510754.2	2719116	15.87638407	17.34447672	8.827624646	82.74849168	42.11557584	46.01001218
Baltimore Gas & Electric Co	6	8	696	307.9957344	22.31961	266335446.5	2483767	16.28839385	17.79458512	8.827624646	84.37715943	41.85823312	45.72887292
Baltimore Gas & Electric Co	6	9	696	274.1350992	22.31961	165702431.7	2047945	15.95732971	17.43290742	8.827624646	81.57909129	41.30978154	45.1297059
Baltimore Gas & Electric Co	6	10	696	284.0292846	22.31961	175339233.9	1965637	16.05811811	17.54301574	8.827624646	81.86262666	41.19317634	45.00231819
Baltimore Gas & Electric Co	6	11	696	245.7301209	22.31961	165545078.1	2033878	15.64638472	17.09320927	8.827624646	79.95150061	41.29018875	45.10830137
Baltimore Gas & Electric Co	6	12	696	283.8818797	22.31961	219781902.8	2326994	16.05664248	17.54140365	8.827624646	82.80836003	41.6728977	45.5263995
Boston Edison Co	7	1	941.46	248.7919926	26.70116	220583550.1	1084345	16.40532719	18.12047111	9.768068276	76.66159708	41.32539987	45.6458872
Boston Edison Co	7	2	941.46	285.2151029	26.70116	382796241.6	1110967	16.81162725	18.56924902	9.768068276	78.69734262	41.39752851	45.72555675
Boston Edison Co	7	3	941.46	261.0970529	26.70116	115401422.1	1121482	16.54888752	18.27904038	9.768068276	77.51984737	41.42554238	45.7564994
Boston Edison Co	7	4	941.46	273.9036001	26.70116	80407101.77	1024069	16.69128515	18.4363254	9.768068276	77.67686287	41.15532156	45.45802755
Boston Edison Co	7	5	941.46	367.9573989	26.70116	51820012.07	965098	17.56912458	19.40594117	9.768068276	81.41169854	40.97894674	45.2632131
Boston Edison Co	7	6	941.46	289.1896078	26.70116	128099535.9	1002747	16.85278144	18.6147058	9.768068276	78.30918501	41.09275076	45.3889151
Boston Edison Co	7	7	941.46	292.0840073	26.70116	129873612	1179188	16.88239724	18.64741787	9.768068276	79.3669506	41.57475301	45.92130971
Boston Edison Co	7	8	941.46	386.0636943	26.70116	54419696.57	1169077	17.71197175	19.56372273	9.768068276	83.21562781	41.54914407	45.8930234
Boston Edison Co	7	9	941.46	357.1566864	26.70116	50157787.87	1070449	17.48052733	19.30808126	9.768068276	81.61015848	41.28704398	45.60352128
Boston Edison Co	7	10	941.46	369.2279171	26.70116	51671959.37	980509	17.57937512	19.41726338	9.768068276	81.55284707	41.02605823	45.31525
Boston Edison Co	7	11	941.46	279.9126978	26.70116	124409156.4	931293	16.75582123	18.5076086	9.768068276	77.44211734	40.87291373	45.14609455
Boston Edison Co	7	12	941.46	290.6914648	26.70116	170880315	1004778	16.86818541	18.63172022	9.768068276	78.39223924	41.09876792	45.39556133
Carolina Power & Light Co	8	1	543.8125	357.9071224	18.55401	529312173.3	3210949	16.08518832	17.17443218	7.989387429	88.09871116	40.98270779	43.75794188
Carolina Power & Light Co	8	2	543.8125	364.103164	18.55401	396132782.4	2728080	16.13213881	17.22456203	7.989387429	87.39476313	40.53691586	43.28196217
Carolina Power & Light Co	8	3	543.8125	292.6905449	18.55401	333027191.2	2878249	15.53493188	16.58691392	7.989387429	84.46374534	40.68349232	43.43846438
Carolina Power & Light Co	8	4	543.8125	296.545825	18.55401	321215012.8	2383236	15.57072761	16.62513364	7.989387429	83.58411866	40.16725047	42.88726407
Carolina Power & Light Co	8	5	543.8125	302.6563259	18.55401	330290630.9	2740391	15.62652028	16.68470443	7.989387429	84.68133039	40.54923235	43.29511269
Carolina Power & Light Co	8	6	543.8125	309.058525	18.55401	351902442.6	3326392	15.68378071	16.74584238	7.989387429	86.1027164	41.07932851	43.86110548
Carolina Power & Light Co	8	7	543.8125	365.259304	18.55401	471704605.8	3174999	16.14081095	17.23382142	7.989387429	88.33692059	40.95190879	43.72505725
Carolina Power & Light Co	8	8	543.8125	310.0785604	18.55401	270464068.9	2744159	15.69279409	16.75546611	7.989387429	85.04835595	40.55299097	43.29912584
Carolina Power & Light Co	8	9	543.8125	349.3326936	18.55401	355426430.1	2902105	16.01885703	17.10360913	7.989387429	87.14319324	40.7060713	43.46257234
Carolina Power & Light Co	8	10	543.8125	336.4435966	18.55401	296019644.7	2754051	15.91601994	16.99380819	7.989387429	86.27908263	40.56283384	43.30963524
Carolina Power & Light Co	8	11	543.8125	347.3347211	18.55401	273764318.9	2624427	16.003167	17.08685661	7.989387429	86.46945337	40.43095694	43.168828
Carolina Power & Light Co	8	12	543.8125	337.1662528	18.55401	386142657.4	3057295	15.92188918	17.00007489	7.989387429	86.91890271	40.84857233	43.61472314
Central Illinois Light Company	9	1	765.96	348.0882858	19.22377	126530756	488694	16.87968912	17.30072379	8.526138455	76.66420128	37.78163286	38.7240304
Central Illinois Light Company	9	2	765.96	340.9848414	19.22377	83534485.87	428803	16.82022222	17.23977359	8.526138455	75.63166619	37.40455488	38.33754686
Central Illinois Light Company	9	3	765.96	348.1353653	19.22377	73581894.07	437346	16.88007919	17.30112359	8.526138455	76.0162657	37.46145172	38.3958629
Central Illinois Light Company	9	4	765.96	382.6330251	19.22377	135160859.2	400770	17.15259335	17.58043515	8.526138455	76.72408255	37.20955398	38.137682
Central Illinois Light Company	9	5	765.96	364.1421832	19.22377	144155032.3	418280	17.00973296	17.43401135	8.526138455	76.33726243	37.33289234	38.26409682
Central Illinois Light Company	9	6	765.96	349.2240256	19.22377	73807535.27	503282	16.88908437	17.31035339	8.526138455	76.8791133	37.86646925	38.81098289
Central Illinois Light Company	9	7	765.96	403.0597569	19.22377	137601742.4	511939	17.30259646	17.73417983	8.526138455	78.86373376	37.91565889	38.86139947
Central Illinois Light Company	9	8	765.96	396.8820663	19.22377	141279089.5	495903	17.25804801	17.68852019	8.526138455	78.47025564	37.82386865	38.76731968
Central Illinois Light Company	9	9	765.96	383.8753088	19.22377	137804424.7	447872	17.16194225	17.59001724	8.526138455	77.42709848	37.53004632	38.46616846
Central Illinois Light Company	9	10	765.96	393.0980979	19.22377	135563456	447394	17.23041737	17.66020035	8.526138455	77.72964862	37.52696645	38.46301177
Central Illinois Light Company	9	11	765.96	399.9276918	19.22377	134225994.1	431512	17.28009657	17.71111871	8.526138455	77.73720994	37.42271879	38.35616383
Central Illinois Light Company	9	12	765.96	401.1136004	19.22377	134032930.2	448404	17.28863647	17.71987163	8.526138455	78.00580277	37.53347026	38.46967781
Central Illinois Pub Serv Co	10	1	804.1	373.4784612	18.32749	288253253.1	783848	17.20774536	17.22605955	8.449809759	80.38488517	39.43078133	39.47274747
Central Illinois Pub Serv Co	10	2	804.1	395.2404685	18.32749	247582137.2	624370	17.37228476	17.39077407	8.449809759	79.79335305	38.76990471	38.81116748
Central Illinois Pub Serv Co	10	3	804.1	385.5322832	18.32749	402497148.3	658754	17.30003136	17.31844377	8.449809759	79.78069277	38.92564975	38.96707828
Central Illinois Pub Serv Co	10	4	804.1	391.0805154	18.32749	355682653	588943	17.34154397	17.36000055	8.449809759	79.30348971	38.60019469	38.64127684
Central Illinois Pub Serv Co	10	5	804.1	382.7915679	18.32749	298390980.4	588793	17.27930401	17.29769435	8.449809759	79.01734921	38.59945463	38.64053599
Central Illinois Pub Serv Co	10	6	804.1	399.9794453	18.32749	424925430.5	719070	17.40691257	17.42543872	8.449809759	80.79848426	39.18017971	39.22187914
Central Illinois Pub Serv Co	10	7	804.1	409.9648012	18.32749	432448542.7	750507	17.47855212	17.49715453	8.449809759	81.38844627	39.3044987	39.34633044
Central Illinois Pub Serv Co	10	8	804.1	417.5702759	18.32749	432628448.9	715083	17.53195623	17.55061547	8.449809759	81.34535319	39.16402592	39.20570816
Central Illinois Pub Serv Co	10	9	804.1	406.0478366	18.32749	368047355.5	620681	17.45066019	17.46923291	8.449809759	80.11774884	38.75268819	38.79393264
Central Illinois Pub Serv Co	10	10	804.1	417.119426	18.32749	255628059.5	635949	17.52881767	17.54747358	8.449809759	80.62319539	38.82329045	38.86461003
Central Illinois Pub Serv Co	10	11	804.1	410.8856077	18.32749	308730532.9	623070	17.48507031	17.50367966	8.449809759	80.29884921	38.76384926	38.80510558
Central Illinois Pub Serv Co	10	12	804.1	403.0901847	18.32749	410501370.1	692379	17.42942047	17.44797058	8.449809759	80.67604071	39.07028573	39.1118682
Central Power & Light Co	11	1	657	202.7199771	15.11014	18377837.95	1353943	14.96641391	14.42355086	7.650720321	74.99517782	39.77988058	38.33698136
Central Power & Light Co	11	2	657	207.4784227	15.11014	17317410.65	1240674	15.03178633	14.48655209	7.650720321	74.85665079	39.53372037	38.09974988
Central Power & Light Co	11	3	657	279.2893144	15.11014	30035849.75	1260865	15.86922544	15.29361554	7.650720321	79.11792849	39.57920492	38.14358462
Central Power & Light Co	11	4	657	200.4224774	15.11014	18170398.55	1268295	14.93429908	14.39260091	7.650720321	74.48788349	39.59575948	38.15953871
Central Power & Light Co	11	5	657	325.1703264	15.11014	69811840.65	1372121	16.29777965	15.70662519	7.650720321	81.74365992	39.81745744	38.37319522
Central Power & Light Co	11	6	657	186.3965028	15.11014	16798991.55	1634544	14.72988084	14.19559734	7.650720321	74.79456745	40.31054864	38.84840097
Central Power & Light Co	11	7	657	192.5809396	15.11014	22438370.05	1779491	14.82184726	14.28422795	7.650720321	75.70850132	40.54993883	39.07910798
Central Power & Light Co	11	8	657	179.5292653	15.11014	20081553.35	1803197	14.62411534	14.09366818	7.650720321	74.76719469	40.58722601	39.11504268
Central Power & Light Co	11	9	657	166.0964345	15.11014	16039983.35	1759013	14.40499421	13.88249503	7.650720321	73.52008248	40.51732689	39.04767894
Central Power & Light Co	11	10	657	165.1769977	15.11014	14408657.75	1530564	14.38935408	13.8674222	7.650720321	72.72978779	40.12535693	38.66992656
Central Power & Light Co	11	11	657	165.1717534	15.11014	16658800.75	1451122	14.38926462	13.86733598	7.650720321	72.45713715	39.97518285	38.5251996
Central Power & Light Co	11	12	657	171.6497694	15.11014	14290115.55	1391014	14.49765723	13.97179697	7.650720321	72.78527436	39.85598837	38.41032856
Cincinnati Gas & Electric Co	12	1	668.16	287.6693019	16.85291	377549883.2	1678239	15.99393825	15.99191892	7.978939499	81.15219222	40.48972704	40.48461498
Cincinnati Gas & Electric Co	12	2	668.16	320.48337	16.85291	301409797.7	1419016	16.29907846	16.29702061	7.978939499	81.73238367	40.01576485	40.01071262
Cincinnati Gas & Electric Co	12	3	668.16	280.5624294	16.85291	308113496.1	1435107	15.92327303	15.92126263	7.978939499	79.91145127	40.04761745	40.0425612
Cincinnati Gas & Electric Co	12	4	668.16	297.7081822	16.85291	317609093.2	1273871	16.09083782	16.08880625	7.978939499	80.07352267	39.71095075	39.70593701
Cincinnati Gas & Electric Co	12	5	668.16	311.6689565	16.85291	305146890.7	1315907	16.22029595	16.21824804	7.978939499	80.90416781	39.80266293	39.79763761
Cincinnati Gas & Electric Co	12	6	668.16	321.2420311	16.85291	324146723	1601039	16.30575773	16.30369903	7.978939499	82.46251824	40.35669713	40.35160186
Cincinnati Gas & Electric Co	12	7	668.16	311.469087	16.85291	343991731.3	1701028	16.21848381	16.21643613	7.978939499	82.36895884	40.5278283	40.52271143
Cincinnati Gas & Electric Co	12	8	668.16	311.4551719	16.85291	330706586.1	1624111	16.2183576	16.21630994	7.978939499	82.10265744	40.39711493	40.39201456
Cincinnati Gas & Electric Co	12	9	668.16	323.2372524	16.85291	304760658.1	1361836	16.32324869	16.32118778	7.978939499	81.61592184	39.89957786	39.8945403
Cincinnati Gas & Electric Co	12	10	668.16	333.5946398	16.85291	317176781.8	1312311	16.41234546	16.41027331	7.978939499	81.84618056	39.79493277	39.78990842
Cincinnati Gas & Electric Co	12	11	668.16	341.9823246	16.85291	305137288.7	1329579	16.48249415	16.48041314	7.978939499	82.27227848	39.83186142	39.82683241
Cincinnati Gas & Electric Co	12	12	668.16	339.38413	16.85291	309266420.3	1474531	16.46095032	16.45887203	7.978939499	82.76772037	40.12417329	40.11910737
Cleveland Electric Illum Co	13	1	921.6	353.1168142	13.28125	221693383.2	1826784	17.39237181	15.17361455	7.667352884	84.58790344	42.74296696	37.29021623
Cleveland Electric Illum Co	13	2	921.6	400.6020626	13.28125	303704721.7	1664083	17.76640704	15.49993384	7.667352884	85.84798498	42.46642612	37.0489539
Cleveland Electric Illum Co	13	3	921.6	385.0461969	13.28125	296205360.5	1644535	17.6489956	15.39750066	7.667352884	85.21030003	42.43139545	37.01839212
Cleveland Electric Illum Co	13	4	921.6	376.4754271	13.28125	289588414.6	1554391	17.58226216	15.33928045	7.667352884	84.55376243	42.26427284	36.87258946
Cleveland Electric Illum Co	13	5	921.6	373.5215901	13.28125	286875899.4	1472659	17.55891055	15.31890783	7.667352884	84.12153875	42.10414542	36.73288961
Cleveland Electric Illum Co	13	6	921.6	378.3431811	13.28125	240714682.6	1576451	17.59693336	15.35208004	7.667352884	84.70796581	42.30605002	36.90903709
Cleveland Electric Illum Co	13	7	921.6	360.980647	13.28125	132763072.1	1714023	17.45766711	15.23058008	7.667352884	84.53026813	42.55408471	37.12542983
Cleveland Electric Illum Co	13	8	921.6	389.3403091	13.28125	297171101.8	1677606	17.68187377	15.42618455	7.667352884	85.48779053	42.49041981	37.06988669
Cleveland Electric Illum Co	13	9	921.6	383.5407598	13.28125	188227246.2	1631014	17.63738224	15.38736883	7.667352884	85.10511291	42.4069209	36.99703981
Cleveland Electric Illum Co	13	10	921.6	383.7140983	13.28125	185896620.9	1470827	17.63872174	15.38853745	7.667352884	84.49649331	42.10045521	36.72967016
Cleveland Electric Illum Co	13	11	921.6	404.0750602	13.28125	359892933.5	1422983	17.7919972	15.52225945	7.667352884	85.03227406	42.00241942	36.64414086
Cleveland Electric Illum Co	13	12	921.6	367.7920815	13.28125	235352440.5	1583605	17.51308458	15.27892791	7.667352884	84.33108322	42.3194728	36.92074752
Columbus Southern Power Co	14	1	724.625	344.9789246	16.79366	130991796.1	1369833	16.71302263	16.48447485	8.068382875	82.56958456	40.41396698	39.86131275
Columbus Southern Power Co	14	2	724.625	278.7959319	16.79366	71940268.09	1159437	16.10380929	15.8835924	8.068382875	78.62089959	39.93703086	39.39089866
Columbus Southern Power Co	14	3	724.625	340.5254103	16.79366	229858620.6	1173956	16.67585953	16.44781995	8.068382875	81.48628222	39.9726241	39.42600517
Columbus Southern Power Co	14	4	724.625	341.9537587	16.79366	137507074	1031970	16.6878313	16.45962801	8.068382875	80.79263613	39.60392795	39.06235088
Columbus Southern Power Co	14	5	724.625	307.7043517	16.79366	80490722.19	1058193	16.38598615	16.16191053	8.068382875	79.47504201	39.67569717	39.13313866
Columbus Southern Power Co	14	6	724.625	349.8655091	16.79366	137548605.4	1274480	16.75325153	16.52415362	8.068382875	82.34570723	40.20760816	39.65777586
Columbus Southern Power Co	14	7	724.625	360.0103333	16.79366	140825436.7	1350634	16.83500475	16.60478889	8.068382875	83.08914806	40.37359727	39.8214951
Columbus Southern Power Co	14	8	724.625	376.1161366	16.79366	198739470.3	1278837	16.96017827	16.72825068	8.068382875	83.38303277	40.2173692	39.66740342
Columbus Southern Power Co	14	9	724.625	370.5281354	16.79366	197887446.3	1099076	16.91736642	16.68602427	8.068382875	82.27655167	39.78411573	39.24007462
Columbus Southern Power Co	14	10	724.625	378.022023	16.79366	146092866.3	1070329	16.97463467	16.74250939	8.068382875	82.39777375	39.70831201	39.1653075
Columbus Southern Power Co	14	11	724.625	388.2066757	16.79366	148465204.2	1088831	17.05067195	16.81750687	8.068382875	82.8690439	39.75733025	39.21365542
Columbus Southern Power Co	14	12	724.625	360.8911103	16.79366	189386088.5	1200669	16.84199357	16.61168213	8.068382875	82.43058412	40.03697567	39.48947674
Commonwealth Edison Co	15	1	840.1	328.6802503	25.81226	442521780.5	6920207	16.94674787	18.83895088	9.506560182	91.27234137	46.05808528	51.20073852
Commonwealth Edison Co	15	2	840.1	324.3327697	25.81226	259421803	6897038	16.90780941	18.79566472	9.506560182	91.0432354	46.04827813	51.18983634
Commonwealth Edison Co	15	3	840.1	276.1256592	25.81226	239945127.4	6265440	16.43724359	18.27255749	9.506560182	87.96954134	45.76741595	50.87761426
Commonwealth Edison Co	15	4	840.1	301.2073932	25.81226	210580160.9	5887313	16.69149368	18.55519608	9.506560182	88.97494233	45.58537892	50.67525173
Commonwealth Edison Co	15	5	840.1	310.206358	25.81226	204396439.6	5560581	16.7775822	18.65089688	9.506560182	89.10626238	45.4184081	50.48963766
Commonwealth Edison Co	15	6	840.1	337.7203993	25.81226	365333281.6	6312992	17.02609356	18.92715598	9.506560182	91.164995	45.78952657	50.90219366
Commonwealth Edison Co	15	7	840.1	325.9526497	25.81226	411830175.4	7166791	16.92237863	18.81186067	9.506560182	91.34370031	46.16047287	51.31455828
Commonwealth Edison Co	15	8	840.1	315.4184084	25.81226	202866389.4	6510844	16.82630825	18.70506348	9.506560182	90.27282062	45.87976956	51.0025128
Commonwealth Edison Co	15	9	840.1	336.1103814	25.81226	207391664.2	6644441	17.01211903	18.91162111	9.506560182	91.38785261	45.93916702	51.06854234
Commonwealth Edison Co	15	10	840.1	290.4019583	25.81226	232119351.6	5981263	16.58465905	18.43643274	9.506560182	88.49524214	45.63167708	50.72671936
Commonwealth Edison Co	15	11	840.1	292.7528242	25.81226	240469853.5	5856454	16.60823683	18.46264312	9.506560182	88.50128991	45.5700104	50.65816723
Commonwealth Edison Co	15	12	840.1	290.4606915	25.81226	237424644.4	6424587	16.58525043	18.43709015	9.506560182	88.9039111	45.8407685	50.95915705
Connecticut Light & Power Co	16	1	808.5	303.3786305	19.93088	575489827.2	2070838	16.61733779	17.10076973	8.70056447	83.11562912	42.28773915	43.51797495
